,Unnamed: 0,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
101,117,"5407 Viewpoint Dr, Austin, TX 78744, USA",5407 Viewpoint Drive in Austin (TX),30.200369899999995,-97.7315071,1,78744,OK
102,118,,Outside Jurisdiction,,,0,,ZERO_RESULTS
103,121,"Silent Harbor Loop & Hidden Harbor Dr, Texas 78660, USA",Silent Harbor Loop And Hidden Harbor Dr in Pflugerville (TX),30.4437782,-97.5751219,1,78660,OK
104,122,"700 Middle Ln, Austin, TX 78753, USA",700 Middle Ln in Austin (TX),30.357349600000003,-97.6896393,1,78753,OK
105,123,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
106,124,"8515 S IH 35 Frontage Rd #6225, Austin, TX 78744, USA",8515 S Ih 35 Apt 6225 in Austin (TX),30.171053000000004,-97.7819757,1,78744,OK
107,126,"Linden Ln, Liberty, TX 77575, USA",Linden Ln in Travis (TX),30.0428148,-94.7714931,2,77575,OK
108,127,"1107 Lambie St, Austin, TX 78702, USA",1107 Lambie in Austin (TX),30.2552553,-97.7352412,1,78702,OK
109,128,"Blackson Ave & S IH 35 Frontage Rd, Austin, TX 78752, USA",N Ih35 And Blackson St in Austin (TX),30.3354115,-97.7030632,1,78752,OK
110,129,"6505 Burleson Rd, Austin, TX 78744, USA",6505 Burleson Road in Austin (TX),30.2028876,-97.7147801,1,78744,OK
111,130,"905 Bedford St, Austin, TX 78702, USA",905 Bedford in Austin (TX),30.2717027,-97.7076749,1,78702,OK
112,131,"414 Thompson Ln, Austin, TX 78742, USA",414 Thompson Lane in Austin (TX),30.240982199999998,-97.6826241,1,78742,OK
113,132,"Swiss Dr & Lucerne Dr, Swiss Alpine Village, TX 78617, USA",Lucerne And Swiss Dr in Travis (TX),30.12847829999999,-97.6157719,1,78617,OK
114,133,,2903 Locke #B in Austin (TX),,,0,,REQUEST_DENIED
115,134,"4612 Sherwyn Dr, Austin, TX 78725, USA",4612 Sherwyn Dr in Austin (TX),30.2814531,-97.660724,1,78725,OK
116,135,"3200 Crownover St, Austin, TX 78725, USA",3200 Crownover Street in Austin (TX),30.2297342,-97.58878440000001,1,78725,OK
117,136,"W 9th St & Blanco St, Austin, TX 78703, USA",Blanco Street And 9Th Street in Austin (TX),30.2749441,-97.7556993,1,78703,OK
118,137,"4000 Airport Blvd, Austin, TX 78722, USA",4000 Airport in Austin (TX),30.291544000000002,-97.707656,1,78722,OK
119,138,"Virgo Ln, Austin, TX 78724, USA",Virgo Ln And in Austin (TX),30.2964833,-97.6459895,1,78724,OK
