,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
166,"Anken Dr & S Pleasant Valley Rd, Austin, TX 78741, USA",S Pleasant Valley Rd And Anken Dr in Austin (TX),30.2296634,-97.72629909999999,1,78741,OK
167,"7100 Crystalbrook Dr, Austin, TX 78724, USA",7100 Crystal Brook in Austin (TX),30.30784,-97.6529248,1,78724,OK
168,"1620 E Riverside Dr, Austin, TX 78741, USA",1620 E Riverside Dr in Austin (TX),30.2452206,-97.7301827,1,78741,OK
169,"Pearce Ln & Los Cielos Blvd, Austin, TX 78617, USA",Pearce Ln And Los Cielos Blvd in Del Valle (TX),30.1694167,-97.6231335,1,78617,OK
170,"Cliffbrook Dr, Austin, TX 78747, USA",1625 And Cliff Brook in Austin (TX),30.1047163,-97.7188997,1,78747,OK
171,"7201 Levander Loop, Austin, TX 78702, USA",7201 Levander Loop in Austin (TX),30.2527847,-97.6904186,1,78702,OK
172,"Ulysses S Grant St, Texas 78653, USA",18617 Ulysses S Grant in Travis (TX),30.3557933,-97.5238301,1,78653,OK
173,"Mansfield Dam, Austin, TX 78734, USA",4370 Mansfield Dam in Travis (TX),30.3918843,-97.9073722,2,78734,OK
174,"1822 W Braker Ln, Austin, TX 78758, USA",1822 W Braker Ln in Austin (TX),30.3920447,-97.70577689999999,1,78758,OK
175,"Santa Rita St & Matamoros St, Austin, TX 78702, USA",Matamoros St And Santa Rita St in Austin (TX),30.257413,-97.718679,1,78702,OK
176,"9801 Decker Lake Rd, Austin, TX 78724, USA",9801 Decker Lake Rd in Austin (TX),30.2823416,-97.6189217,1,78724,OK
177,"10801 Old Manchaca Rd, Austin, TX 78748, USA",10801 Old Manchaca in Austin (TX),30.1625936,-97.8287852,1,78748,OK
178,"1154 Nickols Ave, Austin, TX 78721, USA",1154 Nickols Ave. in Austin (TX),30.2766689,-97.68501719999999,1,78721,OK
179,"14631 Branding Iron Pass, Austin, TX 78734, USA",14631 Branding Iron Pass in Travis (TX),30.3732947,-97.9317288,1,78734,OK
180,"5000 Coffee Cup Cove, Austin, TX 78744, USA",5000 Coffee Cup Cove in Austin (TX),30.1966815,-97.7416066,1,78744,OK
181,"6000 US-290, Austin, TX 78735, USA",6000 E Us 290 Hwy in Austin (TX),30.2363559,-97.85159560000001,1,78735,OK
182,"6101 Airport Blvd, Austin, TX 78752, USA",6101 Airport Blvd in Austin (TX),30.32764299999999,-97.7139909,1,78752,OK
183,"Hokanson Rd & Doyle Overton Rd, Rio Vista Ranch, TX 78617, USA",Doyle Overton Rd And Hokanson Rd in Travis (TX),30.0910289,-97.62721700000002,1,78617,OK
184,"Galewood Dr & Colony Creek Dr, Austin, TX 78758, USA",Colony Creek And Galewood in Austin (TX),30.3687916,-97.7141654,1,78758,OK
185,"14607 Highsmith St, Austin, TX 78725, USA",14607 Highsmith St in Travis (TX),30.2371351,-97.58556630000001,1,78725,OK
186,"11603 Hidden Quail Dr, Austin, TX 78758, USA",11603 Hidden Quail in Austin (TX),30.3918862,-97.6999343,1,78758,OK
187,"Bolm Rd, Austin, TX, USA",Bolm Rd & Gardner Rd in Austin (TX),30.2574701,-97.68886099999999,2,,OK
188,"E 4th St & Pedernales St, Austin, TX 78702, USA",Pedernales And E 4Th St in Austin (TX),30.25704,-97.71550409999999,1,78702,OK
189,"1806 Somerset Dr, Round Rock, TX 78681, USA",1806 Somerset Dr in Round Rock (TX),30.5220764,-97.70287139999999,1,78681,OK
190,"12201 Von Quintus Rd, Austin, TX 78719, USA",12201 Von Quintus Road in Austin (TX),30.1048407,-97.6733599,1,78719,OK
191,"E Cesar Chavez St & S IH 35 Frontage Rd, Austin, TX 78701, USA",Cesar Chavez And N Ih 35 in Austin (TX),30.2612203,-97.7367715,1,78701,OK
192,"14500 Deaf Smith Blvd, Austin, TX 78725, USA",14500 Deaf Smith in Travis (TX),30.233564,-97.5899701,1,78725,OK
193,"7201 Levander Loop, Austin, TX 78702, USA",7201 Levander Loop in Austin (TX),30.2527847,-97.6904186,1,78702,OK
